"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Solyc06g053387.1",6.97415645558922,2.55318323311547,6.29040911114198,0.000251161593478633,0.0436847957760768,0.537263445944773
"Solyc06g076560.21",6.9134918315164,5.22524807800871,19.9855265239,4.96101885285082e-08,0.000150140274562677,8.01786912944287
"Solyc01g102960.31",6.89915539425238,5.98183563586827,21.6652123517869,2.65456150917607e-08,0.000133896082522841,8.88503849646354
"Solyc07g056510.3",6.89657581900232,4.47623244905864,15.626866859794,3.29787737500362e-07,0.000293549884932675,6.23714125193681
"Solyc11g020330.1",6.88001413746357,4.03404075223993,13.9640101820124,7.77979131903263e-07,0.000619598959155799,5.32401192499974
"Solyc02g093600.3",6.77541512797842,3.63937157183911,11.4442527403616,3.48876851972353e-06,0.0017901687046047,4.10808130758915
"Solyc01g160310.1",6.75616059081986,-0.268279096869988,6.91299497944384,0.0001323764421008,0.0288812658626565,0.402897880114029
"Solyc07g014583.1",8.42711373730344,0.812525600642379,4.23961524778403,0.000277240225325859,0.0084649706793426,-0.435625613970981
"Solyc05g014280.4",8.21123070906991,2.65952042040463,5.6655253630339,7.26136934252195e-06,0.000535213796380025,2.24395432285386
"Solyc08g074720.2",7.9446965701228,1.71038406921295,4.66797801427038,9.23621470766285e-05,0.00391507240282324,0.248305465393378
"Solyc06g076670.3",7.86663981552161,0.492373314166902,4.88763049349384,5.25663315530391e-05,0.00254517819553041,0.580905499812881
"Solyc12g011310.21",7.86063276147836,2.14400749363723,5.04175443442055,3.5422259538471e-05,0.00184642516837471,0.992676476108177
"Solyc09g008970.1",7.65078122629903,1.88625076973207,4.91815303695926,4.8610486543018e-05,0.00238356165371104,0.792647391139513
"Solyc02g093600.31",7.44226504391748,2.2852598480149,5.02928706795584,3.65703853036805e-05,0.00187272769574111,1.19632013239372
"Solyc03g117630.1",7.31049787580224,1.39733623831767,4.2968455102875,0.000239431307566333,0.00780478617227495,-0.343845138388553
"Solyc01g081250.3",7.29753551581477,4.53251681120801,15.4400654797975,4.01640713580871e-14,2.73399196326932e-11,21.1429496523039
"Solyc06g076540.1",7.22139860232328,0.169014754347515,4.4809003854708,0.000149319469092462,0.00555602860558834,-0.0628389999965595
"Solyc09g073015.1",12.574411766124,0.165846944346549,21.7995262344635,2.5186358551342e-13,3.38706149798448e-11,16.8286175171407
"Solyc09g015000.41",12.4110313703662,2.7269055278026,15.3337475107866,5.48055743567456e-11,2.43082244046674e-09,13.6467372487454
"Solyc10g150105.1",12.3895867112804,1.65838636895127,17.3374458982424,8.53508307645086e-12,5.33363369944755e-10,14.8523034360435
"Solyc03g113930.31",12.1497409632423,2.14972383240986,16.7296004557786,1.46884986551461e-11,8.30431542459528e-10,14.511916412604
"Solyc03g123540.31",12.0713678471082,0.706915886400683,21.436940021456,3.2664963478701e-13,4.25657392307724e-11,16.6987550660669
"Solyc01g066120.4",12.0412762628855,-0.100684126846852,21.8592196123444,2.41404147553654e-13,3.33498820002847e-11,16.8440332007505
"Solyc09g092290.1",11.7287781971993,-0.256986859779398,20.5077220212317,6.48374090694683e-13,7.26611230971841e-11,16.3264744298756
"Solyc03g059205.1",11.6375425406193,-0.302754803156647,16.8051616944297,1.37168029700617e-11,7.86960607258491e-10,14.5385696074314
"Solyc03g118060.3",11.5496368170496,-0.346292361735784,18.4591901173827,3.27435294387711e-12,2.57205013955954e-10,15.41358529326
"Solyc01g066100.3",11.5477960374698,-0.347327582158599,20.7919423691893,5.24131368616292e-13,6.29332021888562e-11,16.4369851754769
"Solyc06g076540.11",12.4675652423422,-0.637746745724008,28.0057449106014,2.15908983801066e-14,6.25340598872244e-12,20.3322562608355
"Solyc09g015000.42",11.8464995285151,2.52445963107851,18.9072347039002,6.79215421658848e-12,5.52372778136252e-10,16.4950341115608
"Solyc09g073015.11",11.8232388756617,-0.962361267546247,23.9152846587644,2.2087918701568e-13,3.6103905925167e-11,18.9031094956894
"Solyc10g150105.11",11.7102019118915,0.145547351227415,23.4846256480913,2.88357805127676e-13,4.44906449051664e-11,18.7380179523187
"Solyc01g098070.1",11.5777593783491,-1.08388627959607,26.32924799558,5.36872301960995e-14,1.24834152578508e-11,19.7847829493215
"Solyc11g020330.11",11.4015379608629,2.50792598515122,22.9784505563887,3.96841260544366e-13,5.79627056719304e-11,18.5999610225326
"Solyc03g118060.31",11.1528236956746,-1.29343951583045,27.2937241736502,3.15807741122614e-14,8.54699999703808e-12,20.0885837278215
"Solyc03g113930.32",10.7106575348273,2.4606540221619,24.1412761103886,1.92393915891023e-13,3.30857412233843e-11,19.3226444619079
"Solyc07g056510.31",10.6122384489376,-0.162637601672862,18.7516925496442,7.65412303411016e-12,6.13407364903517e-10,16.3974856443545
"Solyc03g059205.11",10.5874998574285,-0.787016831400201,22.2024731442559,6.56067210995456e-13,8.39613456304185e-11,18.1684772239171
"Solyc10g006870.1",-9.39997554503077,-0.594461217224541,-16.4867142416342,7.23138899217049e-06,0.0226765322534811,1.25035113827063
"Solyc08g066570.3",-7.37072505640138,-1.59302378888473,-10.1337376429683,9.56615227608569e-05,0.0337236619906471,0.433103437831634
"Solyc02g064620.2",6.28615192944757,-2.39971413296431,13.6912317300126,1.95360119230746e-05,0.0226765322534811,0.655539148244914
"Solyc03g019710.3",5.62788486670007,-0.394520866617679,7.54752199306238,0.00043521992544362,0.0422115762661137,-0.212941473698986
"Solyc06g076540.12",5.4326049274044,1.7070455586541,14.1491276216829,1.63931903828038e-05,0.0226765322534811,2.02166830037746
"Solyc01g099660.4",5.40607997084184,0.947835172039974,6.94933542315383,0.000658423464165556,0.0475954895322738,-0.167986208303784
"Solyc01g095330.21",5.08859246838988,6.89229546272246,13.2780721805681,2.29972156494822e-05,0.0226765322534811,3.51379435014969
"Solyc01g095320.4",4.84945545217791,9.34205111129706,12.3513123345955,3.37663012276559e-05,0.0255084551527669,3.0806888352616
"Solyc06g051860.3",4.67867122391782,-1.23827933606026,7.09176686583165,0.000595051289245136,0.0466902144086882,-0.476631723039145
"Solyc06g067980.3",4.51642694716903,1.14394715897766,11.9326235778172,4.05270323295554e-05,0.0256897963149028,1.54543426439656
"Solyc06g076020.3",-3.2145334427211,6.42289267832922,-18.1497864577709,1.05105847752245e-05,0.0465724011390197,4.0387721644076
"Solyc09g015000.43",2.54779706874417,6.61900485031113,19.5801436662878,7.26296763122124e-06,0.0465724011390197,4.43560063897763
"Solyc11g066060.4",-2.16191094862988,10.1970722389394,-17.0146691459582,1.43894183910061e-05,0.0498367309764026,3.76917031743055
"Solyc10g086410.3",-1.77875497722495,8.0456250741495,-23.2100618327091,3.16475356938821e-06,0.0465724011390197,4.94389588191377
"Solyc09g011160.4",-1.49438440666363,4.74316180517114,-16.4663594468194,1.68709312716326e-05,0.0498367309764026,3.55125014574243
"Solyc06g011400.21",1.47878035379157,5.36722982608153,18.9296243906195,8.56335299557223e-06,0.0465724011390197,4.25404542435419
"Solyc10g084540.3",6.05459740119676,2.5927247744951,5.37331610541626,0.000113785321896817,0.00258887585526099,1.42700423395388
"Solyc05g055400.5",-5.33441884702476,1.81998100069426,-6.01543601944626,3.79683566288314e-05,0.00198797240842133,2.42292723954012
"Solyc00g160750.1",-4.32853614077886,-0.237789518503739,-5.96031268440036,4.16260099522227e-05,0.00198797240842133,2.1678319753321
"Solyc10g048060.2",-3.33600490144588,1.34617804803448,-5.05595595459354,0.000199871962704026,0.00345191185672352,0.94928160603621
"Solyc02g014180.2",3.05914840622868,-0.936002329510104,6.99696489688741,7.91752172025606e-06,0.00158759712321752,3.44671831286406
"Solyc05g017797.2",3.05611869112103,-0.530622140182055,5.35785881482883,0.000116913787233153,0.00265058523858691,1.30334228171685
"Solyc05g017795.1",2.87562684915323,-0.781869892090029,4.89323767033129,0.000268194690944433,0.00384239369639097,0.589412544469873
"Solyc09g091455.1",2.82694037843312,0.219788229805958,4.50658128905513,0.000546630875097042,0.00543030226464649,-0.000927075034465652
"Solyc01g066614.1",2.80831777894714,-0.0447307528953987,5.4874587905923,9.32271333568971e-05,0.00247943976044756,1.50575491049883
"Solyc05g010100.4",2.74215381954659,-0.987542662161701,6.23457383127596,2.64512255626898e-05,0.00190033543016425,2.48265892452227
"Solyc04g077640.4",10.9771171243804,2.17573899780695,10.4020454322333,6.85774064055031e-06,6.8589353688849e-05,4.31381803153003
"Solyc05g010210.1",10.8277216845184,1.47444354481121,11.5960129940909,3.04461131264618e-06,4.12551526118741e-05,4.98817173320962
"Solyc10g008040.5",-10.4306770230332,0.0886247641095828,-12.9675578922222,1.30832368155184e-06,2.50369541859637e-05,5.65086303926267
"Solyc05g006290.2",10.3431425872249,-0.599000964742522,14.4587672827636,5.70607797414988e-07,1.597980178029e-05,6.25698858576035
"Solyc09g061550.3",9.85813965037778,0.462009471496516,18.6634035926987,7.97828926220658e-08,6.60625365206654e-06,7.51724981389182
"Solyc09g061570.1",9.68807220421248,-0.151443700680416,15.948945797721,2.68751947063705e-07,1.11024166794202e-05,6.7699538942182
"Solyc05g006300.2",9.40130155934047,-1.06955479618629,24.4709382067,9.66946219259867e-09,3.44751501972678e-06,8.5437903472009
"Solyc01g096470.3",-9.08747665014525,-1.64157877803687,-19.4288511475051,5.84047363274275e-08,5.81447846108257e-06,7.62829395882897
"Solyc09g064760.4",8.89443740452422,-1.32267691844163,24.4535798206154,9.72326232467127e-09,3.44751501972678e-06,8.5219262180448
"Solyc05g005910.4",8.84225195125243,0.482123182507442,16.6973684167782,1.88740843905087e-07,9.47721152937992e-06,6.99829621100867
"Solyc01g095330.22",5.51923399942515,7.48123322338199,9.68867601104343,8.57673663119139e-07,0.00246681240074116,5.82069604750594
"Solyc06g076560.22",5.50631665838538,5.89318120442582,7.45380961634753,1.12732840757042e-05,0.0194543063294427,3.37499199681488
"Solyc08g062340.31",5.27847413808216,7.38290553331116,13.1286821986812,3.66117723466545e-08,0.000631809355386218,8.15911249892256
"Solyc03g123540.32",4.65028993013507,5.04901868041948,8.58717582150797,2.86529746568129e-06,0.00618080479565776,4.24153225817303
"Solyc09g015000.44",4.59712042443518,7.1405243380559,9.7034615358942,8.44534899555667e-07,0.00246681240074116,5.84772110472681
"Solyc06g076570.41",4.29126335194336,5.62656438920985,6.87029673243353,2.41785401009554e-05,0.0379317333201988,2.83039488851472
"Solyc01g102960.32",4.25582219881888,6.79129528726241,11.1854074842291,1.96592206133117e-07,0.0016962958506196,6.9336992288016
"Solyc09g007270.31",3.97370062493368,6.06825113691592,10.0750830725033,5.7644554288556e-07,0.00246681240074116,5.95564761239617
"Solyc04g014480.31",3.36674538789207,5.39008960370404,10.443107391539,3.99353341014951e-07,0.00229721353529834,6.07971416508623
"Solyc06g011400.22",3.23179954336397,5.03704634094902,9.10437641260454,1.60339267127754e-06,0.00395282104689093,4.9520996961421
"Solyc12g011310.22",7.87712690816448,2.63338196329673,9.95115225439775,2.35926358092507e-06,0.00102669599833433,4.06567193135803
"Solyc07g014583.11",7.48609727437275,3.32805952101957,5.54184368551996,0.000290374283183897,0.0387061071530534,0.69404442107528
"Solyc05g014280.41",7.3851062514156,3.90561373087487,8.78344907758826,6.98453501107618e-06,0.00219879106433794,3.9294469142963
"Solyc07g056510.32",7.2048696527446,4.51728762143187,13.9609185339576,1.12522557470975e-07,0.00011099225068937,7.39957118464623
"Solyc09g008970.11",7.14991340124323,3.42249417123336,11.6649077158365,5.74348948604306e-07,0.000326848732444204,5.48466581902894
"Solyc12g042830.31",7.09173845596155,1.20004178775422,10.5052393873823,1.46241391189305e-06,0.000772781294298914,4.27190921441687
"Solyc09g092690.31",7.07263202274263,5.12454801599544,19.9918139626495,4.04221135619413e-09,1.12824406079873e-05,10.1460890051374
"Solyc06g076560.23",7.07075205865196,5.20070506919895,21.3948330759308,2.14126944085768e-09,1.12824406079873e-05,10.516422183645
"Solyc01g095320.41",6.96517680496964,2.43352633904213,8.60083798773678,8.36360087571348e-06,0.00247495677114113,3.3266088614714
"Solyc03g117630.11",6.96017431119387,2.46845782874665,5.32302881688017,0.000391438191724154,0.0474731105307424,0.37741911472436
"Solyc12g011310.23",8.08591244922846,2.40379661402874,9.70574635922515,1.39485925649919e-07,3.22240385436442e-05,6.85518667201896
"Solyc07g014583.12",8.03736268031266,1.60792405434133,6.0985177648405,2.79440401552658e-05,0.00266176734977583,2.62619541272533
"Solyc05g014280.42",7.5063926482986,3.41265968246538,10.4682104370732,5.47451543045073e-08,1.54234457895455e-05,8.20189827787329
"Solyc09g008970.12",7.43130900345151,2.07766018622187,9.86826291800768,1.13746655166429e-07,2.68140329352535e-05,6.99778801487414
